"RunOrder","DMI","OMI","CPI","NDFI","normalizedResult","result"
1,778.25,458.25,62,198.75,-0.161862939861042,-1.5941538507657
2,484.75,742.75,62,198.75,0.884764161051774,54.125184036012
3,484.75,458.25,116,198.75,0.454320239127581,31.2096200246404
4,778.25,742.75,116,198.75,0.487952112704372,33.0000817143446
5,484.75,458.25,62,416.25,0.494381649404345,33.3423712724201
6,778.25,742.75,62,416.25,0.532997541203156,35.3981673826686
7,778.25,458.25,116,416.25,0.055617348743458,9.98385485348001
8,484.75,742.75,116,416.25,0.59490330648743,38.6938476206498
9,631.5,600.5,89,307.5,0.442466527384953,30.5785633959482
10,631.5,600.5,89,307.5,0.442466527384953,30.5785633959482
11,484.75,458.25,62,198.75,0.496378100089839,33.4486564146855
12,778.25,742.75,62,198.75,0.496012220799714,33.4291780811181
13,778.25,458.25,116,198.75,0.0979609093277516,12.2381010482019
14,484.75,742.75,116,198.75,0.775626556784352,48.3150200883879
15,778.25,458.25,62,416.25,0.223937990743632,18.9447490599719
16,484.75,742.75,62,416.25,0.752950158083862,47.1077955476265
17,484.75,458.25,116,416.25,0.330842934085459,24.6360527292873
18,778.25,742.75,116,416.25,0.356399985240521,25.9966347049084
19,631.5,600.5,89,307.5,0.442466527384953,30.5785633959482
20,631.5,600.5,89,307.5,0.442466527384953,30.5785633959482
21,338,600.5,89,307.5,0.72191480527244,45.4555649602217
22,925,600.5,89,307.5,0.11967063309448,13.3938626684885
23,631.5,316,89,307.5,0.0749243524795714,11.0117027506112
24,631.5,885,89,307.5,0.731618555310337,45.9721639730495
25,631.5,600.5,35,307.5,0.722698264010615,45.497273991179
26,631.5,600.5,143,307.5,0.422092912270822,29.4939322569978
27,631.5,600.5,89,90,0.391115819716174,27.8448032737171
28,631.5,600.5,89,525,0.334788846068617,24.8461214374923
29,631.5,600.5,89,307.5,0.442466527384953,30.5785633959482
30,631.5,600.5,89,307.5,0.442466527384953,30.5785633959482
