"pen_size_animal","month","BW","backfat_thick","eye_rib","carcass_weight","windex","marbling"
8.33333333333333,28.8,800,13,88,474,6.35,5
8.33333333333333,31.2,730,17,94,419,62.95,7
8.33333333333333,28.7,840,16,88,494,60.99,4
8.33333333333333,30.4,780,7,101,448,69.41,5
8.33333333333333,31.3,670,23,83,402,58.18,6
8.33333333333333,29.1,720,21,95,433,60.24,6
8.33333333333333,29.7,920,27,86,543,52.68,6
8.33333333333333,29.8,810,13,92,481,63.7,6
8.33333333333333,30.9,965,14,97,557,61.9,3
8.33333333333333,29.9,785,8,98,443,68.52,5
6.25,27.4,745,6,108,435,71.26,6
6.25,27.6,700,22,74,402,57.63,4
3.15,32.1,880,6,122,495,71.64,5
3.15,30.1,831,10,82,476,64.4,6
3.15,29,760,13,99,459,65.14,7
3.15,31,800,18,96,471,61.34,5
3.15,31.8,745,21,93,525,57.77,7
3.15,32,745,15,94,463,63.14,6
3.15,31,766,14,78,422,62.67,4
3.15,28.5,780,19,104,481,61.51,3
3.15,28.8,825,14,102,467,64.71,8
3.15,31.7,835,14,95,498,63.06,7
3.15,28.4,710,12,77,407,64.15,4
6.25,29.8,770,11,105,461,67.12,7
3.15,31.9,731,11,100,447,66.81,7
3.15,29.4,664,11,86,409,65.9,5
3.15,32.6,793,15,97,481,63.1,7
3.15,29.3,704,23,88,411,58.61,3
3.15,30.1,716,26,80,404,55.86,2
3.15,30.3,768,7,88,453,67.6,5
3.15,31.8,840,21,96,506,58.62,7
3.15,29.4,753,7,76,418,66.88,3
3.15,31.2,774,22,103,455,60.13,6
3.15,31.6,745,13,96,449,64.99,4
3.15,31.7,786,7,98,473,68.42,4
6.25,29.5,761,24,85,453,56.59,6
6.25,31.9,760,12,109,457,67.11,6
6.25,32.8,858,24,135,502,61.91,8
6.25,30.9,810,18,106,463,62.83,7
6.25,33.1,851,11,82,508,63,6
6.25,32.4,950,9,136,572,69.74,7
6.25,30.1,859,18,100,511,60.9,6
6.25,31,731,27,83,438,54.81,2
6.25,32.6,821,6,107,501,69.55,6
6.25,33.1,621,15,86,359,64.6,4
6.25,30.9,693,24,83,402,57.55,5
6.25,32.9,757,16,94,451,62.81,8
6.25,31.4,744,21,94,436,60.04,7
6.25,30.1,716,16,96,448,63.14,7
6.25,30.4,776,25,85,457,55.87,4
6.25,32.2,653,14,87,386,64.71,6
6.25,28.9,816,10,116,470,68.96,7
6.25,31.5,737,18,98,426,62.68,8
6.25,30.3,743,28,82,430,54.25,5
6.25,31.7,900,29,97,533,63.1,6
6.25,31.8,756,13,105,437,66.45,6
6.25,27.5,780,16,105,449,64.28,7
6.25,30.1,775,6,100,432,70.29,7
6.25,30.1,715,17,80,416,61.2,4
6.25,29.8,840,12,119,540,66.42,8
6.25,31.6,800,9,99,459,67.84,6
